Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01001,01001,"Autauga County, Alabama",55263,*****
0500000US01003,01003,"Baldwin County, Alabama",190981,*****
0500000US01005,01005,"Barbour County, Alabama",27203,*****
0500000US01007,01007,"Bibb County, Alabama",22648,*****
0500000US01009,01009,"Blount County, Alabama",57807,*****
0500000US01013,01013,"Butler County, Alabama",20437,*****
0500000US01015,01015,"Calhoun County, Alabama",117253,*****
0500000US01017,01017,"Chambers County, Alabama",34077,*****
0500000US01019,01019,"Cherokee County, Alabama",26116,*****
0500000US01021,01021,"Chilton County, Alabama",43846,*****
0500000US01025,01025,"Clarke County, Alabama",25347,*****
0500000US01031,01031,"Coffee County, Alabama",50906,*****
0500000US01033,01033,"Colbert County, Alabama",54450,*****
0500000US01039,01039,"Covington County, Alabama",37932,*****
0500000US01043,01043,"Cullman County, Alabama",80566,*****
0500000US01045,01045,"Dale County, Alabama",50106,*****
0500000US01047,01047,"Dallas County, Alabama",42618,*****
0500000US01049,01049,"DeKalb County, Alabama",71137,*****
0500000US01051,01051,"Elmore County, Alabama",80443,*****
0500000US01053,01053,"Escambia County, Alabama",38094,*****
0500000US01055,01055,"Etowah County, Alabama",104188,*****
0500000US01059,01059,"Franklin County, Alabama",31661,*****
0500000US01061,01061,"Geneva County, Alabama",26837,*****
0500000US01069,01069,"Houston County, Alabama",103112,*****
0500000US01071,01071,"Jackson County, Alabama",53078,*****
0500000US01073,01073,"Jefferson County, Alabama",658601,*****
0500000US01077,01077,"Lauderdale County, Alabama",92693,*****
0500000US01079,01079,"Lawrence County, Alabama",33806,*****
0500000US01081,01081,"Lee County, Alabama",147537,*****
0500000US01083,01083,"Limestone County, Alabama",87255,*****
0500000US01087,01087,"Macon County, Alabama",20429,*****
0500000US01089,01089,"Madison County, Alabama",343112,*****
0500000US01091,01091,"Marengo County, Alabama",20411,*****
0500000US01093,01093,"Marion County, Alabama",30538,*****
0500000US01095,01095,"Marshall County, Alabama",94365,*****
0500000US01097,01097,"Mobile County, Alabama",413553,*****
0500000US01099,01099,"Monroe County, Alabama",22556,*****
0500000US01101,01101,"Montgomery County, Alabama",229162,*****
0500000US01103,01103,"Morgan County, Alabama",119953,*****
0500000US01109,01109,"Pike County, Alabama",33122,*****
0500000US01111,01111,"Randolph County, Alabama",22767,*****
0500000US01113,01113,"Russell County, Alabama",57438,*****
0500000US01115,01115,"St. Clair County, Alabama",85261,*****
0500000US01117,01117,"Shelby County, Alabama",201093,*****
0500000US01121,01121,"Talladega County, Alabama",81503,*****
0500000US01123,01123,"Tallapoosa County, Alabama",41273,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",198762,*****
0500000US01127,01127,"Walker County, Alabama",66257,*****
0500000US01133,01133,"Winston County, Alabama",24203,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",298384,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",99951,*****
0500000US02110,02110,"Juneau City and Borough, Alaska",32415,*****
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",56812,*****
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",93641,*****
0500000US04001,04001,"Apache County, Arizona",72378,*****
0500000US04003,04003,"Cochise County, Arizona",131232,*****
0500000US04005,04005,"Coconino County, Arizona",135522,*****
0500000US04007,04007,"Gila County, Arizona",53201,*****
0500000US04009,04009,"Graham County, Arizona",37170,*****
0500000US04012,04012,"La Paz County, Arizona",20356,*****
0500000US04013,04013,"Maricopa County, Arizona",3939668,*****
0500000US04015,04015,"Mohave County, Arizona",202857,*****
0500000US04017,04017,"Navajo County, Arizona",107144,*****
0500000US04019,04019,"Pima County, Arizona",992286,*****
0500000US04021,04021,"Pinal County, Arizona",386687,*****
0500000US04023,04023,"Santa Cruz County, Arizona",47111,*****
0500000US04025,04025,"Yavapai County, Arizona",212843,*****
0500000US04027,04027,"Yuma County, Arizona",201595,*****
0500000US05003,05003,"Ashley County, Arkansas",21491,*****
0500000US05005,05005,"Baxter County, Arkansas",41096,*****
0500000US05007,05007,"Benton County, Arkansas",232560,*****
0500000US05009,05009,"Boone County, Arkansas",37252,*****
0500000US05015,05015,"Carroll County, Arkansas",27646,*****
0500000US05019,05019,"Clark County, Arkansas",22837,*****
0500000US05023,05023,"Cleburne County, Arkansas",25806,*****
0500000US05027,05027,"Columbia County, Arkansas",24403,*****
0500000US05029,05029,"Conway County, Arkansas",21223,*****
0500000US05031,05031,"Craighead County, Arkansas",99927,*****
0500000US05033,05033,"Crawford County, Arkansas",61801,*****
0500000US05035,05035,"Crittenden County, Arkansas",50117,*****
0500000US05045,05045,"Faulkner County, Arkansas",118233,*****
0500000US05051,05051,"Garland County, Arkansas",96900,*****
0500000US05055,05055,"Greene County, Arkansas",42994,*****
0500000US05057,05057,"Hempstead County, Arkansas",22454,*****
0500000US05059,05059,"Hot Spring County, Arkansas",33322,*****
0500000US05063,05063,"Independence County, Arkansas",36955,*****
0500000US05069,05069,"Jefferson County, Arkansas",74611,*****
0500000US05071,05071,"Johnson County, Arkansas",25789,*****
0500000US05083,05083,"Logan County, Arkansas",22120,*****
0500000US05085,05085,"Lonoke County, Arkansas",70051,*****
0500000US05091,05091,"Miller County, Arkansas",43588,*****
0500000US05093,05093,"Mississippi County, Arkansas",45444,*****
0500000US05103,05103,"Ouachita County, Arkansas",25374,*****
